Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_b
Audi e-tron Sportback,electric,SUV,all wheel drive,2609.97049698,2.921,0.52,0.35,2.6,95.0
BMW i3,electric,Hatchback,rear wheel drive,1348.07652364,2.57048,0.54,0.3,2.1,42.0
Chevrolet Bolt EV,electric,Hatchback,front wheel drive,1616.14961431,2.60096,0.54,0.3,2.1,66.0
Hyundai Ioniq Electric,electric,Hatchback,front wheel drive,1582.13018656,2.70002,0.54,0.3,2.1,38.0
Hyundai Kona Electric,electric,SUV,front wheel drive,1710.0432349,2.60096,0.52,0.35,2.6,64.0
Jaguar I-PACE,electric,Hatchback,all wheel drive,2169.98589808,2.98958,0.54,0.3,2.1,90.0
Kia Niro EV,electric,SUV,front wheel drive,1748.14499398,2.70002,0.52,0.35,2.6,64.0
MINI Hardtop 2 Door,electric,Hatchback,front wheel drive,1430.17674261,2.49428,0.54,0.3,2.1,32.0
Nissan LEAF,electric,Hatchback,front wheel drive,1604.8098050600001,2.70002,0.54,0.3,2.1,40.0
Porsche Taycan,electric,Sedan,all wheel drive,2246.64300861,2.90068,0.55,0.27,2.2,79.0
Tesla Model S,electric,Sedan,all wheel drive,2241.19990017,2.9591,0.55,0.27,2.2,75.0
Tesla Model X,electric,SUV,all wheel drive,2508.81939847,2.96418,0.52,0.35,2.6,75.0
FIAT 500e,electric,Hatchback,front wheel drive,1351.7052626,2.30124,0.54,0.3,2.1,24.0
Honda Clarity,electric,Sedan,front wheel drive,1825.2556968800002,2.7508199999999996,0.55,0.27,2.2,25.0
Kia Soul EV,electric,Wagon,front wheel drive,1491.86530493,2.57048,0.56,0.29,2.2,30.0
smart EQ fortwo,electric,Hatchback,rear wheel drive,1071.83877031,1.87198,0.54,0.3,2.1,17.0
Volkswagen e-Golf,electric,Hatchback,front wheel drive,1568.97600783,2.6289,0.54,0.3,2.1,35.0
Ford Focus,electric,Hatchback,front wheel drive,1651.0762268,2.6492199999999997,0.54,0.3,2.1,33.0
Tesla Model 3,electric,Sedan,rear wheel drive,1725.9189678500002,2.87528,0.55,0.27,2.2,80.0
Mercedes-Benz B-Class Electric Drive,electric,Hatchback,front wheel drive,1779.89645988,2.69748,0.54,0.3,2.1,28.0
Mitsubishi i-MiEV,electric,Hatchback,rear wheel drive,1169.8147222300001,2.55016,0.54,0.3,2.1,16.0
Chevrolet Spark EV,electric,Hatchback,front wheel drive,1299.99573242,2.3749,0.54,0.3,2.1,18.0
smart fortwo,electric,Hatchback,rear wheel drive,949.82242278,1.8669,0.54,0.3,2.1,17.0
